        Compatible couple   
B9-------------------G20
            gifts exchanged          
1 , 31 , Luxury
1 , 91 , Essential
1 , 119 , Utility
1 , 14 , Luxury
3 , 89 , Luxury
6 , 77 , Luxury
7 , 74 , Luxury
8 , 101 , Utility
13 , 101 , Utility
13 , 80 , Utility
16 , 67 , Utility
17 , 83 , Luxury
17 , 61 , Luxury
18 , 110 , Utility
20 , 85 , Utility
21 , 26 , Essential
22 , 80 , Utility
B13-------------------G25
            gifts exchanged          
1 , 31 , Luxury
1 , 91 , Essential
1 , 119 , Utility
1 , 14 , Luxury
3 , 89 , Luxury
6 , 77 , Luxury
7 , 74 , Luxury
8 , 101 , Utility
13 , 101 , Utility
13 , 80 , Utility
16 , 67 , Utility
17 , 83 , Luxury
17 , 61 , Luxury
18 , 110 , Utility
B10-------------------G21
            gifts exchanged          
1 , 31 , Luxury
1 , 91 , Essential
1 , 119 , Utility
1 , 14 , Luxury
3 , 89 , Luxury
6 , 77 , Luxury
7 , 74 , Luxury
8 , 101 , Utility
13 , 101 , Utility
13 , 80 , Utility
16 , 67 , Utility
17 , 83 , Luxury
17 , 61 , Luxury
18 , 110 , Utility
20 , 85 , Utility
21 , 26 , Essential
22 , 80 , Utility
23 , 39 , Essential
28 , 75 , Utility
29 , 109 , Utility
29 , 1 , Essential
B41-------------------G48
            gifts exchanged          
1 , 31 , Luxury
1 , 91 , Essential
1 , 119 , Utility
1 , 14 , Luxury
3 , 89 , Luxury
6 , 77 , Luxury
7 , 74 , Luxury
8 , 101 , Utility
13 , 101 , Utility
13 , 80 , Utility
16 , 67 , Utility
17 , 83 , Luxury
17 , 61 , Luxury
18 , 110 , Utility
20 , 85 , Utility
21 , 26 , Essential
22 , 80 , Utility
23 , 39 , Essential
28 , 75 , Utility
29 , 109 , Utility
29 , 1 , Essential
30 , 88 , Luxury
32 , 111 , Luxury
B14-------------------G27
            gifts exchanged          
1 , 31 , Luxury
1 , 91 , Essential
1 , 119 , Utility
1 , 14 , Luxury
3 , 89 , Luxury
6 , 77 , Luxury
7 , 74 , Luxury
8 , 101 , Utility
13 , 101 , Utility
13 , 80 , Utility
16 , 67 , Utility
17 , 83 , Luxury
17 , 61 , Luxury
18 , 110 , Utility
20 , 85 , Utility
21 , 26 , Essential
22 , 80 , Utility
B17-------------------G33
            gifts exchanged          
1 , 31 , Luxury
1 , 91 , Essential
1 , 119 , Utility
1 , 14 , Luxury
3 , 89 , Luxury
6 , 77 , Luxury
7 , 74 , Luxury
8 , 101 , Utility
13 , 101 , Utility
13 , 80 , Utility
16 , 67 , Utility
17 , 83 , Luxury
17 , 61 , Luxury
18 , 110 , Utility
20 , 85 , Utility
21 , 26 , Essential
B16-------------------G30
            gifts exchanged          
1 , 31 , Luxury
1 , 91 , Essential
1 , 119 , Utility
1 , 14 , Luxury
3 , 89 , Luxury
6 , 77 , Luxury
7 , 74 , Luxury
8 , 101 , Utility
13 , 101 , Utility
13 , 80 , Utility
16 , 67 , Utility
17 , 83 , Luxury
17 , 61 , Luxury
18 , 110 , Utility
20 , 85 , Utility
21 , 26 , Essential
22 , 80 , Utility
23 , 39 , Essential
28 , 75 , Utility
29 , 109 , Utility
B5-------------------G6
            gifts exchanged          
1 , 31 , Luxury
1 , 91 , Essential
1 , 119 , Utility
1 , 14 , Luxury
3 , 89 , Luxury
6 , 77 , Luxury
7 , 74 , Luxury
8 , 101 , Utility
13 , 101 , Utility
13 , 80 , Utility
16 , 67 , Utility
17 , 83 , Luxury
17 , 61 , Luxury
18 , 110 , Utility
20 , 85 , Utility
21 , 26 , Essential
22 , 80 , Utility
23 , 39 , Essential
28 , 75 , Utility
